,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Bilma,NE,85.1,few clouds,18.6853,12.9164,Expeditions Ténére voyages
43,Hope,US,80.65,clear sky,33.6671,-93.5916,Best Western Hope
53,Hithadhoo,MV,82.74,scattered clouds,-0.6,73.0833,Scoop Guest House
58,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
66,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Miraflores,MX,81.25,overcast clouds,19.2167,-98.8083,Hotel Mansión
73,Kieta,PG,82.38,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
81,Alyangula,AU,82.35,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
93,San Patricio,US,86.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
94,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
100,Samarai,PG,81.3,broken clouds,-10.6167,150.6667,Nuli Sapi
116,Lorengau,PG,81.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
122,Kirakira,SB,81.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
123,Ler,SS,86.04,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
142,Celestun,MX,82.06,broken clouds,20.8667,-90.4,Posada Lilia
146,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
149,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
156,Casa Grande,US,86.99,clear sky,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
166,Luvianos,MX,89.78,broken clouds,18.9167,-100.4,
180,Harper,LR,80.29,overcast clouds,4.375,-7.7169,Screensaver
185,Taoudenni,ML,87.19,clear sky,22.6783,-3.9836,
189,Puerto Ayacucho,VE,83.05,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
196,Arawa,PG,82.17,broken clouds,-6.2132,155.5367,Coastline Guest House
203,Takoradi,GH,82.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
218,Providencia,MX,83.21,clear sky,28.7167,-111.5833,
224,Agadez,NE,85.03,clear sky,19.75,10.25,
231,Kavieng,PG,82.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
243,Barra Patuca,HN,83.16,scattered clouds,15.8,-84.2833,
245,Pinotepa Nacional,MX,89.2,few clouds,16.3167,-98.0167,Hotel Maria Del Carmen
246,Nioro,GM,80.02,broken clouds,13.35,-15.75,
248,Morondava,MG,80.13,few clouds,-20.2833,44.2833,La Case Bambou
258,Chazuta,PE,85.05,broken clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
267,Tabou,CI,80.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
277,Coahuayana,MX,83.66,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
284,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
289,Barra,BR,83.03,broken clouds,-11.0894,-43.1417,Motel Albatroz
295,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
298,Lucea,JM,84.06,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
305,Tulagi,SB,82.4,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
306,Anloga,GH,82.74,light rain,5.7947,0.8973,Pin Drop Hotel
307,Isangel,VU,82.38,overcast clouds,-19.55,169.2667,Tanna Lodge
316,Tessaoua,NE,82.9,broken clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
318,Port Blair,IN,80.22,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
319,Kloulklubed,PW,80.55,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
328,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
331,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
339,Axim,GH,82.13,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
347,Ferkessedougou,CI,85.51,overcast clouds,9.6,-5.2,Hotel Chateau
349,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
354,Manadhoo,MV,82.67,few clouds,5.7667,73.3833,Bon Abri maldives
356,Esna,EG,84.25,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
366,Alofi,NU,80.89,broken clouds,-19.0595,-169.9187,Taloa Heights
374,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
382,Faanui,PF,82.0,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
389,Sola,VU,80.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
394,Hobyo,SO,81.18,few clouds,5.3505,48.5268,Iftin hotel hobyo
395,Moro,PK,82.87,clear sky,26.6646,68.0016,JAMEEL AHMED LANGAH
418,Kavaratti,IN,82.11,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
430,Pedasi,PA,86.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
433,Yaan,NG,84.33,overcast clouds,7.3833,8.5667,
442,La Montanita,CO,80.73,overcast clouds,1.4766,-75.4398,Casa Materna La Montañita
468,Lamar,US,81.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
477,Sabalgarh,IN,80.19,clear sky,26.25,77.4,Kailadevi studio
480,Port-Gentil,GA,81.25,broken clouds,-0.7193,8.7815,Fengshui Residence
483,La Libertad,EC,80.26,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
488,Madras,IN,84.18,scattered clouds,13.0878,80.2785,"Taj Connemara, Chennai"
489,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
491,Tual,ID,81.68,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
498,Mombaca,BR,81.3,overcast clouds,-5.7431,-39.6275,Mombaça Premium Hotel
522,Adilpur,PK,80.26,clear sky,27.937,69.3187,Rajesh kukreja form house
526,San Joaquin,US,83.19,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
530,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
551,Laguna,US,82.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
568,Tombouctou,ML,87.33,clear sky,20.0,-3.0,
572,Cartagena Del Chaira,CO,82.24,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
575,Sur,OM,82.06,few clouds,22.5667,59.5289,Sur Plaza Hotel
580,Arlit,NE,87.71,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
588,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
595,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
610,Alamogordo,US,81.95,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
615,Sain Alto,MX,83.21,few clouds,23.5833,-103.25,Hotel Barraza
621,Calamar,CO,86.7,overcast clouds,10.2511,-74.9146,Hostal Katyalex
628,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
635,Dhidhdhoo,MV,83.03,clear sky,6.8833,73.1,Dhidhoo beach
637,Cairns,AU,82.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
641,Formosa,AR,80.58,overcast clouds,-26.1775,-58.1781,Asterión Hotel
